"id","category","startDate","endDate","description","ongoing","parameter_group","links","ooi_ref_des","ooi_deployment_id","ooi_stream_name","ooi_stream_method","deployment_location","instrument_asset_id","deployment_cruise_id","instrument_serial_no","instrument_make_model","median_time_interval_ms","instrument_calibration_date","ooi_annotation_id"
21879,"QC Result","2019-04-07T14:42:00Z","2019-09-26T13:50:00Z","[QC suspect] UPDATED 2020-08-31: The vendor attempted to correct the data post-recovery by using zero readings from the sensor obtained before and after deployment to establish the cumulative drift over time. This was then applied as a linear correction. Note that the data is still suspect as the air values appear to be slightly high at the start of the deployment. * Deployment 10:  Due to a firmware bug, the sensor zeroing function for correcting the baseline drift over time is not currently saving the new reference value to compare the raw CO2 value outputs during the measurements. The sensors are zeroing at the end of the sample cycle when scheduled, but the firmware is not storing the new value. This results in the original zero reference value being used for all measurements and an observable and consistent negative drift in both the air and water CO2 values. The vendor has indicated that the data may be correctable post-recovery, however at this time no such correction algorithm has been provided","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","","","","","","","","","","","1715"
21896,"Deployment","2019-04-07T14:42:00Z","2019-10-01T11:58:00Z","Deployment 0010 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.36723°N -70.88147°E 0.0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0010.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0010_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0010","pco2a_a_dcl_instrument_water","telemetered","40.36723°N -70.88147°E 0.0m depth","CGINS-PCO2AA-33154","AR34","33-154-50A","Pro-Oceanus pCO2-pro","","",""
21897,"Deployment","2019-04-07T14:42:00Z","2019-10-01T11:58:00Z","Deployment 0010 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.36723°N -70.88147°E 0.0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0010.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0010_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0010","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.36723°N -70.88147°E 0.0m depth","CGINS-PCO2AA-33154","AR34","33-154-50A","Pro-Oceanus pCO2-pro","","",""
44863,"Deployment","2019-04-07T14:42:00Z","2019-10-01T11:58:00Z","Deployment 0010 - No Data Available","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","deployment0010","","","","","","","","","",""
41722,"Deployment","2019-09-26T13:50:00Z","2020-11-01T13:16:00Z","Deployment 0011 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.3594°N -70.8851°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0011.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0011_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0011","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.3594°N -70.8851°E 0m depth","CGINS-PCO2AA-31124","AR39","31-124-50A","Pro-Oceanus pCO2-pro","","",""
21898,"Deployment","2019-09-26T13:50:00Z","2020-11-01T13:16:00Z","Deployment 0011 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.3594°N -70.8851°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0011.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0011_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0011","pco2a_a_dcl_instrument_water","telemetered","40.3594°N -70.8851°E 0m depth","CGINS-PCO2AA-31124","AR39","31-124-50A","Pro-Oceanus pCO2-pro","","",""
21877,"Note","2019-11-04T00:00:00Z","2019-11-14T12:00:00Z","Deployment 11: *UPDATED 2019-11-14: Instrument is powered back on and functional as of 2019-11-14. A data gap is expected 2019-11-04 through 2019-11-14.* PCO2A2 was disabled 2019-11-04 after issues were observed starting 2019-11-04. No data expected after this point.","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","","","","","","","","","","","1813"
21876,"Status","2020-01-08T00:00:00Z","2020-11-01T13:16:00Z","[not_operational] Deployment 11: UPDATED 2020-04-27: As of 2020-03-12 telemetered data for most instruments are being sent home via Iridium. A gap in telemetered data is expected between 2020-01-08 and 2020-03-12 and will not be backfilled but these data will be available upon recovery.* As of 2020-01-08 both fleet broadband telemetry pathways have failed and data can no longer be telemetered to shore from this mooring. Instruments will continue to log data which will be available upon recovery.","","None set",,"CP03ISSM","","","","","","","","","","","1889"
21878,"Status","2020-03-31T21:59:00Z","2020-11-01T13:16:00Z","[not_operational] Deployment 11: The PCO2A instrument failed (possibly a membrane or lamp failure). The instrument was powered down for the rest of the deployment on 4/9/2020. ","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","","","","","","","","","","","2048"
44347,"Deployment","2020-10-31T19:31:00Z","2021-03-31T19:02:00Z","Deployment 0012 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.367077°N -70.881735°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0012.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0012_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0012","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.367077°N -70.881735°E 0m depth","CGINS-PCO2AA-33182","AR48","33-182-50A","Pro-Oceanus pCO2-pro","","",""
35834,"Deployment","2020-10-31T19:31:00Z","2021-03-31T19:02:00Z","Deployment 0012 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.367077°N -70.881735°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0012.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0012_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0012","pco2a_a_dcl_instrument_water","telemetered","40.367077°N -70.881735°E 0m depth","CGINS-PCO2AA-33182","AR48","33-182-50A","Pro-Oceanus pCO2-pro","","",""
42672,"Deployment","2021-04-02T20:47:00Z","2021-11-11T19:30:00Z","Deployment 0013 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.3671°N -70.881567°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0013.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0013_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0013","pco2a_a_dcl_instrument_water","telemetered","40.3671°N -70.881567°E 0m depth","CGINS-PCO2AA-34231","AR52","34-231-50A","Pro-Oceanus pCO2-pro","","",""
50113,"Deployment","2021-04-02T20:47:00Z","2021-11-11T19:30:00Z","Deployment 0013 (Recovered from Host from pco2a_a_dcl_instrument_water_recovered, Deployed at: 40.3671°N -70.881567°E 0m depth)","","None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water_recovered-recovered_host-deployment0013.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered/deployment0013_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0013","pco2a_a_dcl_instrument_water_recovered","recovered_host","40.3671°N -70.881567°E 0m depth","CGINS-PCO2AA-34231","AR52","34-231-50A","Pro-Oceanus pCO2-pro","","",""
44457,"QC Result","2021-06-03T17:00:00Z","2021-11-11T19:30:00Z","[QC suspect] Deployment 13: Instrument values are suspect beginning 6/3/2021.","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","","","","","","","","","","","2902"
46170,"Note","2021-08-22T14:00:00Z","2022-04-29T19:03:54Z","Deployment 13: DCL12 power was disabled on 8/22/21 due to the buoy's low power state and it will be powered back on when voltage levels rebound. No telemetered data expected for this time period. Instruments that do not collect data on battery power will have a gap in their recovered data for this period.",true,"None set",,"CP03ISSM-SBD12","","","","","","","","","","","3182"
49247,"Status","2021-08-22T14:00:00Z","2021-11-05T12:00:00Z","[not_operational] Deployment 13: The instrument was powered off because it was not collecting valid data.","","None set",,"CP03ISSM-SBD12-04-PCO2AA000","","","","","","","","","","","3372"
49002,"Deployment","2021-11-01T14:10:00Z","2022-04-29T19:03:54Z","Deployment 0014 (Telemetered from pco2a_a_dcl_instrument_water, Deployed at: 40.3646°N -70.888252°E 0m depth)",true,"None set","http://thredds.dataexplorer.oceanobservatories.org/thredds/catalog/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/catalog.html;http://erddap-goldcopy.dataexplorer.oceanobservatories.org/erddap/tabledap/CP03ISSM-SBD12-04-PCO2AA000-pco2a_a_dcl_instrument_water-telemetered-deployment0014.html;http://thredds.dataexplorer.oceanobservatories.org/thredds/fileServer/ooigoldcopy/public/CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water/deployment0014_CP03ISSM-SBD12-04-PCO2AA000-telemetered-pco2a_a_dcl_instrument_water_aggregate_provenance.json","CP03ISSM-SBD12-04-PCO2AA000","deployment0014","pco2a_a_dcl_instrument_water","telemetered","40.3646°N -70.888252°E 0m depth","CGINS-PCO2AA-33182","AR61","33-182-50A","Pro-Oceanus pCO2-pro","","",""
